====================================================================================================
3-CARD PREFLOP SCORES FOR TOSS'EM HOLD'EM (MONTE CARLO)
====================================================================================================

Simulations per hand: 50000

Formula:
  Preflop Score = (3card_equity + 2card_eq_1 + 2card_eq_2 + 2card_eq_3) / 4

Total hand classes: 1911

----------------------------------------------------------------------------------------------------
Rank  Hand   Score   Raw3c   2c_1    2c_2    2c_3    Pattern  Best  
233   AJT    0.5928  0.5727  0.6072  0.6053  0.5858  _AA      AJo   
234   TT8    0.5927  0.6557  0.6979  0.5087  0.5087  ___      TT    
235   AJ6    0.5927  0.6461  0.6318  0.5811  0.5117  AAA      AJs   
236   JJ2    0.5915  0.7288  0.7240  0.4748  0.4383  A_A      JJ    
237   JJ2    0.5913  0.7283  0.7240  0.4748  0.4383  _AA      JJ    
238   T99    0.5913  0.6183  0.6673  0.5531  0.5263  AA_      99    
239   AT6    0.5907  0.6484  0.6265  0.5811  0.5067  AAA      ATs   
240   K99    0.5904  0.5748  0.6673  0.5598  0.5598  ___      99    
241   AKT    0.5903  0.5525  0.6231  0.6053  0.5803  ___      AKo   
242   T99    0.5902  0.6139  0.6673  0.5531  0.5263  A_A      99    
243   AJ3    0.5897  0.6714  0.6318  0.5628  0.4930  AAA      AJs   
244   QJ9    0.5889  0.6206  0.5981  0.5738  0.5632  AAA      QJs   
245   AQT    0.5888  0.5475  0.6265  0.6151  0.5663  A_A      ATs   
246   AK9    0.5888  0.5672  0.6231  0.6052  0.5598  A_A      AKo   
247   AK9    0.5886  0.5649  0.6231  0.5867  0.5794  _AA      AKo   
248   998    0.5886  0.6653  0.6673  0.5287  0.4930  A_A      99    
249   AJT    0.5881  0.5592  0.6318  0.6053  0.5562  AA_      AJs   
250   KQ8    0.5879  0.6156  0.6134  0.5699  0.5528  AAA      KQs   
251   A97    0.5877  0.6459  0.6052  0.5893  0.5103  AAA      A9s   
252   998    0.5876  0.6613  0.6673  0.5287  0.4930  _AA      99    
253   AT5    0.5870  0.6452  0.6265  0.5863  0.4902  AAA      ATs   
254   A66    0.5866  0.6310  0.5811  0.5789  0.5553  A_A      A6s   
255   AQJ    0.5864  0.5491  0.6151  0.6072  0.5741  ___      AQo   
256   AJ2    0.5861  0.6842  0.6318  0.5535  0.4748  AAA      AJs   
257   KQ7    0.5860  0.6208  0.6134  0.5667  0.5430  AAA      KQs   
258   AT4    0.5858  0.6534  0.6265  0.5784  0.4851  AAA      ATs   
259   TT6    0.5856  0.6662  0.6979  0.5067  0.4717  _AA      TT    
260   A66    0.5854  0.6263  0.5811  0.5789  0.5553  AA_      A6s   
261   TT6    0.5851  0.6643  0.6979  0.5067  0.4717  A_A      TT    
262   KJ8    0.5849  0.6084  0.6105  0.5699  0.5509  AAA      KJs   
263   JJ5    0.5848  0.6634  0.7240  0.4760  0.4760  ___      JJ    
264   A87    0.5848  0.6392  0.6023  0.5893  0.5085  AAA      A8s   
265   AJT    0.5847  0.5488  0.6265  0.6072  0.5562  A_A      ATs   
266   AK8    0.5842  0.5682  0.6231  0.5756  0.5699  _AA      AKo   
267   QT9    0.5842  0.6178  0.5919  0.5738  0.5531  AAA      QTs   
268   AK8    0.5839  0.5725  0.6231  0.6023  0.5376  A_A      AKo   
269   JJ6    0.5838  0.6614  0.7240  0.4750  0.4750  ___      JJ    
270   A88    0.5833  0.5427  0.6395  0.5756  0.5756  ___      88    
271   AK9    0.5829  0.5510  0.6413  0.5794  0.5598  AA_      AKs   
272   AK7    0.5824  0.5734  0.6231  0.5667  0.5664  _AA      AKo   
273   Q99    0.5824  0.5757  0.6673  0.5433  0.5433  ___      99    
274   AQT    0.5822  0.5422  0.6151  0.6053  0.5663  ___      AQo   
275   KQ6    0.5820  0.6257  0.6134  0.5556  0.5332  AAA      KQs   
276   AT3    0.5816  0.6654  0.6265  0.5628  0.4717  AAA      ATs   
277   KT8    0.5813  0.6084  0.6056  0.5699  0.5413  AAA      KTs   
278   TT7    0.5813  0.6458  0.6979  0.4907  0.4907  ___      TT    
279   KQJ    0.5811  0.5500  0.6134  0.5870  0.5741  AA_      KQs   
280   AK5    0.5811  0.5913  0.6231  0.5588  0.5509  _AA      AKo   
281   KJ7    0.5810  0.6160  0.6105  0.5667  0.5309  AAA      KJs   
282   AK5    0.5807  0.5959  0.6231  0.5863  0.5175  A_A      AKo   
283   JT9    0.5806  0.6204  0.5858  0.5632  0.5531  AAA      JTs   
284   AQ9    0.5806  0.5540  0.6151  0.5794  0.5738  _AA      AQo   
285   JJ4    0.5803  0.6733  0.7240  0.4620  0.4620  ___      JJ    
286   AQ9    0.5801  0.5567  0.6151  0.6052  0.5433  A_A      AQo   
287   AK7    0.5800  0.5725  0.6231  0.5893  0.5351  A_A      AKo   
288   A96    0.5796  0.6374  0.6052  0.5811  0.4947  AAA      A9s   
289   K88    0.5796  0.5713  0.6395  0.5699  0.5376  AA_      88    
290   KQ5    0.5796  0.6227  0.6134  0.5509  0.5313  AAA      KQs   
291   K88    0.5792  0.5698  0.6395  0.5699  0.5376  A_A      88    
292   AK6    0.5791  0.5827  0.6231  0.5811  0.5294  A_A      AKo   
293   A55    0.5791  0.6220  0.5863  0.5588  0.5492  AA_      A5s   
294   A55    0.5790  0.6218  0.5863  0.5588  0.5492  A_A      A5s   
295   AT2    0.5787  0.6726  0.6265  0.5535  0.4622  AAA      ATs   
296   JJ3    0.5784  0.6860  0.7240  0.4518  0.4518  ___      JJ    
297   997    0.5783  0.6540  0.6673  0.5103  0.4819  A_A      99    
298   A95    0.5782  0.6397  0.6052  0.5863  0.4817  AAA      A9s   
299   AK6    0.5781  0.5782  0.6231  0.5556  0.5553  _AA      AKo   
300   997    0.5780  0.6527  0.6673  0.5103  0.4819  _AA      99    
301   A86    0.5780  0.6369  0.6023  0.5811  0.4915  AAA      A8s   
302   A77    0.5778  0.5506  0.6050  0.5893  0.5664  AA_      77    
303   AQ8    0.5777  0.5679  0.6151  0.6023  0.5256  A_A      AQo   
304   J99    0.5774  0.5791  0.6673  0.5315  0.5315  ___      99    
305   AK4    0.5772  0.5992  0.6231  0.5437  0.5426  _AA      AKo   
306   AK4    0.5771  0.6040  0.6231  0.5784  0.5027  A_A      AKo   
307   AJT    0.5767  0.5382  0.6072  0.6053  0.5562  ___      AJo   
308   KQ4    0.5766  0.6293  0.6134  0.5426  0.5212  AAA      KQs   
309   QJ8    0.5766  0.6045  0.5981  0.5528  0.5509  AAA      QJs   
310   AK3    0.5763  0.6131  0.6231  0.5367  0.5323  _AA      AKo   
311   KT7    0.5763  0.6108  0.6056  0.5667  0.5220  AAA      KTs   
312   KJT    0.5762  0.5518  0.5870  0.5858  0.5803  _AA      KJo   
313   KQT    0.5761  0.5444  0.6134  0.5803  0.5663  AA_      KQs   
314   AK8    0.5760  0.5494  0.6413  0.5756  0.5376  AA_      AKs   
315   333    0.5760  0.8714  0.4775  0.4775  0.4775  ___      33    
