====================================================================================================
3-CARD PREFLOP SCORES - TOSS'EM HOLD'EM
====================================================================================================

Simulations per hand: 50000

Scoring: preflop_score = pure 3-card MC equity
         (both players discard optimally in simulation)

Total hand classes: 1911

------------------------------------------------------------------------------------------
Rank   Hand   Score    Pattern  Keep   Best2c   2nd2c    Flex  
235    AT8    0.6478   AAA      ATs    0.6235   0.6006   0.977 
236    996    0.6478   A_A      99     0.6697   0.4943   0.825 
237    A72    0.6474   AAA      A7s    0.5903   0.5575   0.967 
238    AT7    0.6474   AAA      ATs    0.6235   0.5903   0.967 
239    TT7    0.6470   ___      TT     0.6987   0.4862   0.787 
240    QTT    0.6466   A_A      TT     0.6987   0.5926   0.894 
241    A74    0.6465   AAA      A7s    0.5903   0.5739   0.984 
242    AJ9    0.6465   AAA      AJs    0.6301   0.6078   0.978 
243    A73    0.6463   AAA      A7s    0.5903   0.5665   0.976 
244    AJ6    0.6462   AAA      AJs    0.6301   0.5845   0.954 
245    KJJ    0.6456   ___      JJ     0.7266   0.5857   0.859 
246    AT6    0.6449   AAA      ATs    0.6235   0.5845   0.961 
247    994    0.6447   _AA      99     0.6697   0.4597   0.790 
248    AT9    0.6446   AAA      ATs    0.6235   0.6078   0.984 
249    A62    0.6442   AAA      A6s    0.5845   0.5575   0.973 
250    A75    0.6440   AAA      A7s    0.5903   0.5858   0.996 
251    A98    0.6440   AAA      A9s    0.6078   0.6006   0.993 
252    A84    0.6424   AAA      A8s    0.6006   0.5739   0.973 
253    TT6    0.6424   ___      TT     0.6987   0.4704   0.772 
254    A94    0.6416   AAA      A9s    0.6078   0.5739   0.966 
255    998    0.6412   ___      99     0.6697   0.4953   0.826 
256    A63    0.6411   AAA      A6s    0.5845   0.5665   0.982 
257    QJT    0.6409   AAA      QJs    0.5990   0.5926   0.994 
258    TT4    0.6409   ___      TT     0.6987   0.4449   0.746 
259    A83    0.6401   AAA      A8s    0.6006   0.5665   0.966 
260    ATT    0.6401   AA_      TT     0.6987   0.6235   0.925 
261    ATT    0.6400   A_A      TT     0.6987   0.6235   0.925 
262    A95    0.6400   AAA      A9s    0.6078   0.5858   0.978 
263    KQ3    0.6397   AAA      KQs    0.6151   0.5340   0.919 
264    KJ2    0.6397   AAA      KJs    0.6104   0.5229   0.913 
265    A87    0.6396   AAA      A8s    0.6006   0.5903   0.990 
266    A97    0.6395   AAA      A9s    0.6078   0.5903   0.983 
267    A64    0.6393   AAA      A6s    0.5845   0.5739   0.989 
268    887    0.6393   A_A      88     0.6355   0.5033   0.868 
269    887    0.6392   _AA      88     0.6355   0.5033   0.868 
270    A85    0.6386   AAA      A8s    0.6006   0.5858   0.985 
271    A86    0.6383   AAA      A8s    0.6006   0.5845   0.984 
272    A76    0.6382   AAA      A7s    0.5903   0.5845   0.994 
273    AJJ    0.6368   ___      JJ     0.7266   0.6088   0.882 
274    995    0.6368   _AA      99     0.6697   0.4799   0.810 
275    995    0.6360   A_A      99     0.6697   0.4799   0.810 
276    994    0.6358   A_A      99     0.6697   0.4597   0.790 
277    A96    0.6356   AAA      A9s    0.6078   0.5845   0.977 
278    992    0.6339   ___      99     0.6697   0.4012   0.731 
279    882    0.6330   _AA      88     0.6355   0.4224   0.787 
280    997    0.6328   ___      99     0.6697   0.4807   0.811 
281    A66    0.6328   A_A      A6s    0.5845   0.5788   0.994 
282    KQ9    0.6327   AAA      KQs    0.6151   0.5881   0.973 
283    TT5    0.6320   ___      TT     0.6987   0.4513   0.753 
284    886    0.6317   _AA      88     0.6355   0.4926   0.857 
285    KQ4    0.6310   AAA      KQs    0.6151   0.5401   0.925 
286    882    0.6306   A_A      88     0.6355   0.4224   0.787 
287    KJ3    0.6305   AAA      KJs    0.6104   0.5340   0.924 
288    KT9    0.6296   AAA      KTs    0.6095   0.5881   0.979 
289    886    0.6286   A_A      88     0.6355   0.4926   0.857 
290    A66    0.6262   AA_      A6s    0.5845   0.5788   0.994 
291    KT2    0.6252   AAA      KTs    0.6095   0.5229   0.913 
292    KQ6    0.6251   AAA      KQs    0.6151   0.5600   0.945 
293    KJ9    0.6251   AAA      KJs    0.6104   0.5881   0.978 
294    AK2    0.6250   A_A      AKo    0.6233   0.5575   0.934 
295    JT9    0.6236   AAA      JTs    0.5819   0.5618   0.980 
296    A55    0.6235   AA_      A5s    0.5858   0.5586   0.973 
297    QJ9    0.6232   AAA      QJs    0.5990   0.5742   0.975 
298    KJ4    0.6232   AAA      KJs    0.6104   0.5401   0.930 
299    996    0.6230   ___      99     0.6697   0.4583   0.789 
300    993    0.6226   ___      99     0.6697   0.4120   0.742 
301    AK2    0.6223   _AA      AKo    0.6233   0.5229   0.900 
302    A22    0.6220   A_A      A2s    0.5575   0.5222   0.965 
303    JTT    0.6220   ___      TT     0.6987   0.5579   0.859 
304    A65    0.6217   AAA      A5s    0.5858   0.5845   0.999 
305    883    0.6216   A_A      88     0.6355   0.4332   0.798 
306    KQ5    0.6216   AAA      KQs    0.6151   0.5536   0.939 
307    A33    0.6210   AA_      A3s    0.5665   0.5327   0.966 
308    A22    0.6203   AA_      A2s    0.5575   0.5222   0.965 
309    KT3    0.6203   AAA      KTs    0.6095   0.5340   0.924 
310    884    0.6199   A_A      88     0.6355   0.4555   0.820 
311    A55    0.6198   A_A      A5s    0.5858   0.5586   0.973 
312    884    0.6193   _AA      88     0.6355   0.4555   0.820 
313    A44    0.6193   A_A      A4s    0.5739   0.5422   0.968 
314    776    0.6189   A_A      77     0.6112   0.4918   0.881 
315    885    0.6188   _AA      88     0.6355   0.4752   0.840 
316    A33    0.6188   A_A      A3s    0.5665   0.5327   0.966 
317    KJ5    0.6187   AAA      KJs    0.6104   0.5536   0.943 
318    A44    0.6185   AA_      A4s    0.5739   0.5422   0.968 
319    883    0.6179   _AA      88     0.6355   0.4332   0.798 
320    885    0.6174   A_A      88     0.6355   0.4752   0.840 
321    QT9    0.6173   AAA      QTs    0.5926   0.5742   0.982 
322    K92    0.6166   AAA      K9s    0.5881   0.5229   0.935 
323    KTT    0.6164   ___      TT     0.6987   0.5808   0.882 
324    KQ8    0.6163   AAA      KQs    0.6151   0.5696   0.954 
325    QTT    0.6163   ___      TT     0.6987   0.5698   0.871 
326    776    0.6161   _AA      77     0.6112   0.4918   0.881 
327    KQ7    0.6160   AAA      KQs    0.6151   0.5678   0.953 
328    654    0.6152   AAA      65s    0.4731   0.4604   0.987 
329    AK3    0.6152   _AA      AKo    0.6233   0.5340   0.911 
330    AK3    0.6148   A_A      AKo    0.6233   0.5665   0.943 
331    T99    0.6141   AA_      99     0.6697   0.5552   0.886 
332    543    0.6140   AAA      54s    0.4604   0.4414   0.981 
333    KT4    0.6139   AAA      KTs    0.6095   0.5401   0.931 
334    887    0.6137   ___      88     0.6355   0.4700   0.835 
335    KJ7    0.6127   AAA      KJs    0.6104   0.5678   0.957 
336    T98    0.6127   AAA      T9s    0.5552   0.5412   0.986 
337    J99    0.6122   A_A      99     0.6697   0.5618   0.892 
338    KT6    0.6121   AAA      KTs    0.6095   0.5600   0.951 
339    KJ6    0.6116   AAA      KJs    0.6104   0.5600   0.950 
340    KT7    0.6114   AAA      KTs    0.6095   0.5678   0.958 
341    T99    0.6112   A_A      99     0.6697   0.5552   0.886 
342    995    0.6106   ___      99     0.6697   0.4411   0.771 
343    Q99    0.6105   AA_      99     0.6697   0.5742   0.904 
344    994    0.6100   ___      99     0.6697   0.4160   0.746 
345    J99    0.6100   AA_      99     0.6697   0.5618   0.892 
346    AQ2    0.6099   A_A      AQo    0.6171   0.5575   0.940 
347    QJ2    0.6096   AAA      QJs    0.5990   0.5007   0.902 
348    KJ8    0.6092   AAA      KJs    0.6104   0.5696   0.959 
349    ATT    0.6091   ___      TT     0.6987   0.6039   0.905 
350    775    0.6090   A_A      77     0.6112   0.4728   0.862 
351    K93    0.6078   AAA      K9s    0.5881   0.5340   0.946 
352    AK2    0.6073   AA_      AKs    0.6426   0.5222   0.880 
353    Q99    0.6070   A_A      99     0.6697   0.5742   0.904 
354    K64    0.6069   AAA      K6s    0.5600   0.5401   0.980 
355    K44    0.6065   AA_      K4s    0.5401   0.5124   0.972 
356    AQ2    0.6064   _AA      AQo    0.6171   0.5222   0.905 
357    886    0.6064   ___      88     0.6355   0.4549   0.819 
358    882    0.6061   ___      88     0.6355   0.3830   0.747 
359    K82    0.6057   AAA      K8s    0.5696   0.5229   0.953 
360    K22    0.6057   A_A      K2s    0.5229   0.4822   0.959 
361    KT8    0.6055   AAA      KTs    0.6095   0.5696   0.960 
362    774    0.6055   _AA      77     0.6112   0.4506   0.839 
363    775    0.6053   _AA      77     0.6112   0.4728   0.862 
364    K55    0.6047   AA_      K5s    0.5536   0.5439   0.990 
365    K65    0.6046   AAA      K6s    0.5600   0.5536   0.994 
366    K99    0.6046   A_A      99     0.6697   0.5881   0.918 
367    AQ3    0.6043   A_A      AQo    0.6171   0.5665   0.949 
368    774    0.6041   A_A      77     0.6112   0.4506   0.839 
369    K97    0.6039   AAA      K9s    0.5881   0.5678   0.980 
370    JT8    0.6038   AAA      JTs    0.5819   0.5496   0.968 
371    K87    0.6037   AAA      K8s    0.5696   0.5678   0.998 
372    K54    0.6037   AAA      K5s    0.5536   0.5401   0.986 
373    K99    0.6035   AA_      99     0.6697   0.5881   0.918 
374    K62    0.6035   AAA      K6s    0.5600   0.5229   0.963 
375    772    0.6032   _AA      77     0.6112   0.4078   0.797 
376    K53    0.6031   AAA      K5s    0.5536   0.5340   0.980 
377    KT5    0.6030   AAA      KTs    0.6095   0.5536   0.944 
378    K33    0.6029   AA_      K3s    0.5340   0.4913   0.957 
379    K22    0.6028   AA_      K2s    0.5229   0.4822   0.959 
380    K55    0.6027   A_A      K5s    0.5536   0.5439   0.990 
381    QJ8    0.6025   AAA      QJs    0.5990   0.5551   0.956 
382    K52    0.6024   AAA      K5s    0.5536   0.5229   0.969 
383    876    0.6024   AAA      87s    0.5033   0.4926   0.989 
384    765    0.6022   AAA      76s    0.4918   0.4731   0.981 
385    K44    0.6022   A_A      K4s    0.5401   0.5124   0.972 
386    773    0.6019   _AA      77     0.6112   0.4311   0.820 
387    K98    0.6019   AAA      K9s    0.5881   0.5696   0.981 
388    K86    0.6018   AAA      K8s    0.5696   0.5600   0.990 
389    987    0.6018   AAA      98s    0.5284   0.5138   0.985 
390    Q44    0.6016   A_A      Q4s    0.5156   0.5079   0.992 
391    K63    0.6016   AAA      K6s    0.5600   0.5340   0.974 
392    K33    0.6013   A_A      K3s    0.5340   0.4913   0.957 
393    AK4    0.6013   A_A      AKo    0.6233   0.5739   0.951 
394    K43    0.6013   AAA      K4s    0.5401   0.5340   0.994 
395    QT8    0.6011   AAA      QTs    0.5926   0.5551   0.963 
396    K95    0.6009   AAA      K9s    0.5881   0.5536   0.965 
397    AJ2    0.6009   A_A      AJo    0.6088   0.5575   0.949 
398    AK4    0.6007   _AA      AKo    0.6233   0.5422   0.919 
399    QT2    0.6007   AAA      QTs    0.5926   0.5007   0.908 
400    K76    0.6005   AAA      K7s    0.5678   0.5600   0.992 
401    Q33    0.6004   A_A      Q3s    0.5097   0.4768   0.967 
402    AKQ    0.6004   _AA      AKo    0.6233   0.6171   0.994 
403    665    0.6003   A_A      66     0.5788   0.4731   0.894 
